Country,Resource,Quantity,Unit,Sector,Urgency,Time to ship from Canada to Country (days),Date Resource is Required by (yyyy-mm-dd),Key
Eswatini,Natural gas,517523.6072070573,cubic_feet,Energy,0.05,5,2023-05-18,Natural_gas_Energy
Eswatini,Primary manufacturing,728069.7239678379,kWh,Forestry,0.02,4,2023-05-10,Primary_manufacturing_Forestry
Eswatini,Services and custom work,7224.0,hr,Minerals and mining,0.04,2,2023-05-24,Services_and_custom_work_Minerals_and_mining
Eswatini,Biofuels,33216.964663520004,L,Energy,0.09,4,2023-05-06,Biofuels_Energy
Eswatini,Primary non-metallic minerals products,265765.0,metric_ton,Minerals and mining,0.08,4,2023-05-26,Primary_non_metallic_minerals_products_Minerals_and_mining
Eswatini,Other bioproducts (from forestry biomass),462.99949808,kg,Forestry,0.02,3,2023-05-20,Other_bioproducts_(from_forestry_biomass)_Forestry
Eswatini,Services,1127624400.0,hr,Minerals and mining,0.09,5,2023-05-26,Services_Minerals_and_mining
Eswatini,Primary sawmill and wood products,354837.99,ft,Forestry,0.01,1,2023-05-18,Primary_sawmill_and_wood_products_Forestry
Eswatini,Metallic minerals,1407652.0,metric_ton,Minerals and mining,0.05,3,2023-05-03,Metallic_minerals_Minerals_and_mining
Eswatini,Non-metallic minerals,690569.38,metric_ton,Minerals and mining,0.02,0,2023-05-12,Non_metallic_minerals_Minerals_and_mining
Eswatini,Secondary paper products,333826.72769208014,metric_ton,Forestry,0.1,12,2023-05-20,Secondary_paper_products_Forestry
Eswatini,Electricity,1758681.0,kWh,Energy,0.09,3,2023-05-09,Electricity_Energy
Ethiopia,Services,267881.04,hr,Forestry,0.16,11,2023-05-22,Services_Forestry
Ethiopia,Primary non-metallic minerals products,372445.0,metric_ton,Minerals and mining,0.2,13,2023-05-19,Primary_non_metallic_minerals_products_Minerals_and_mining
Ethiopia,Other bioproducts (from forestry biomass),1172.0,kg,Forestry,0.08,1,2023-05-27,Other_bioproducts_(from_forestry_biomass)_Forestry
Ethiopia,Services,187802.88,hr,Energy,0.26,4,2023-05-21,Services_Energy
Ethiopia,Extraction,2350070.1310240002,ton,Minerals and mining,0.15,3,2023-05-07,Extraction_Minerals_and_mining
Ethiopia,Secondary metal products,17192.951168000003,ton,Minerals and mining,0.11,1,2023-05-16,Secondary_metal_products_Minerals_and_mining
Ethiopia,Electricity,994654.9999999999,kWh,Energy,0.04,4,2023-05-25,Electricity_Energy
Falkland Islands (the) [Malvinas],Primary manufacturing,672002.0,kWh,Minerals and mining,0.06,4,2023-05-13,Primary_manufacturing_Minerals_and_mining
Falkland Islands (the) [Malvinas],Other refined petroleum and coal products,96322.04539534688,gallon,Energy,0.05,2,2023-05-08,Other_refined_petroleum_and_coal_products_Energy
Falkland Islands (the) [Malvinas],Extraction,3261421.0,kWh,Energy,0.12,3,2023-05-07,Extraction_Energy
Falkland Islands (the) [Malvinas],Primary forestry bioproducts,6608.360000000001,metric_ton,Forestry,0.02,5,2023-05-16,Primary_forestry_bioproducts_Forestry
Falkland Islands (the) [Malvinas],Biofuels,26890.0,L,Energy,0.04,12,2023-05-22,Biofuels_Energy
Falkland Islands (the) [Malvinas],Primary pulp and paper products,358194.0,metric_ton,Forestry,0.01,1,2023-05-28,Primary_pulp_and_paper_products_Forestry
Falkland Islands (the) [Malvinas],Metallic minerals,1579884.0,metric_ton,Minerals and mining,0.04,4,2023-05-23,Metallic_minerals_Minerals_and_mining
Falkland Islands (the) [Malvinas],Services,188059.2,hr,Forestry,0.03,2,2023-05-09,Services_Forestry
Falkland Islands (the) [Malvinas],Other bioproducts (from forestry biomass),1910.0,kg,Forestry,0.08,13,2023-05-20,Other_bioproducts_(from_forestry_biomass)_Forestry
Falkland Islands (the) [Malvinas],Tertiary metal products,289457.0,ton,Minerals and mining,0.04,13,2023-05-22,Tertiary_metal_products_Minerals_and_mining
Falkland Islands (the) [Malvinas],Secondary metal products,205490.04,ton,Minerals and mining,0.12,13,2023-05-25,Secondary_metal_products_Minerals_and_mining
Falkland Islands (the) [Malvinas],Petrochemicals,109019.05209739499,gallon,Energy,0.01,5,2023-05-26,Petrochemicals_Energy
Falkland Islands (the) [Malvinas],Refined petroleum products (fuels and lubricants),183877.08665904088,gallon,Energy,0.13,7,2023-05-18,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Falkland Islands (the) [Malvinas],Secondary wood products,38778.02077638054,lb,Forestry,0.12,4,2023-05-09,Secondary_wood_products_Forestry
Falkland Islands (the) [Malvinas],Extraction,108557.91144804136,metric_ton,Forestry,0.13,7,2023-05-20,Extraction_Forestry
Faroe Islands (the),Primary forestry bioproducts,10552.0,metric_ton,Forestry,0.0799999999999998,3,2023-05-19,Primary_forestry_bioproducts_Forestry
Faroe Islands (the),Electricity,3474856.0,kWh,Energy,0.02,4,2023-05-12,Electricity_Energy
Faroe Islands (the),Bioenergy and biofuel (from forestry biomass),6856.003230825723,gallon,Forestry,0.05,2,2023-05-03,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Faroe Islands (the),Secondary wood products,100883.61346760966,lb,Forestry,0.17,3,2023-05-10,Secondary_wood_products_Forestry
Faroe Islands (the),Services and custom work,174298.08000000002,hr,Minerals and mining,0.09,1,2023-05-05,Services_and_custom_work_Minerals_and_mining
Faroe Islands (the),Primary metallic minerals products,526471.0,metric_ton,Minerals and mining,0.08,12,2023-05-20,Primary_metallic_minerals_products_Minerals_and_mining
Faroe Islands (the),Secondary metal products,56280.834084860006,ton,Minerals and mining,0.12,0,2023-05-10,Secondary_metal_products_Minerals_and_mining
Faroe Islands (the),Tertiary metal products,178796.0,ton,Minerals and mining,0.03,4,2023-05-08,Tertiary_metal_products_Minerals_and_mining
Faroe Islands (the),Primary manufacturing,360510.0,kWh,Forestry,0.22,5,2023-05-22,Primary_manufacturing_Forestry
Faroe Islands (the),Services and custom work,43493.52,hr,Forestry,0.07,0,2023-05-26,Services_and_custom_work_Forestry
Faroe Islands (the),Metallic minerals,422394.0,metric_ton,Minerals and mining,0.07,7,2023-05-26,Metallic_minerals_Minerals_and_mining
Fiji,Miscellaneous metal products,8392.9942128,kg,Minerals and mining,0.0100000000000001,4,2023-05-04,Miscellaneous_metal_products_Minerals_and_mining
Fiji,Services,421375.92,hr,Minerals and mining,0.01,6,2023-05-29,Services_Minerals_and_mining
Fiji,Petrochemicals,47392.974960176034,gallon,Energy,0.05,2,2023-05-14,Petrochemicals_Energy
Fiji,Natural gas,191162.31453483447,cubic_feet,Energy,0.11,8,2023-05-21,Natural_gas_Energy
Fiji,Services and custom work,50053.86,hr,Forestry,0.03,0,2023-05-06,Services_and_custom_work_Forestry
Fiji,Secondary metal products,212130.463456,ton,Minerals and mining,0.07,1,2023-05-07,Secondary_metal_products_Minerals_and_mining
Fiji,Bioenergy and biofuel (from forestry biomass),8510.004010133645,gallon,Forestry,0.06,6,2023-05-24,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Fiji,Services,1993432.23,hr,Energy,0.1,4,2023-05-26,Services_Energy
Fiji,Non-metallic minerals,221412.81939048343,metric_ton,Minerals and mining,0.01,4,2023-05-07,Non_metallic_minerals_Minerals_and_mining
Fiji,Services,449812800.0,hr,Forestry,0.07,5,2023-05-19,Services_Forestry
Fiji,Primary non-metallic minerals products,316610.0,metric_ton,Minerals and mining,0.11,11,2023-05-16,Primary_non_metallic_minerals_products_Minerals_and_mining
Fiji,Other bioproducts (from forestry biomass),431.0,kg,Forestry,0.07,5,2023-05-22,Other_bioproducts_(from_forestry_biomass)_Forestry
Fiji,Secondary paper products,240947.62,metric_ton,Forestry,0.1,9,2023-05-16,Secondary_paper_products_Forestry
Fiji,Primary manufacturing,1403998.0,kWh,Forestry,0.1,4,2023-05-16,Primary_manufacturing_Forestry
Fiji,Extraction,3123113.0,kWh,Energy,0.01,2,2023-05-05,Extraction_Energy
Fiji,Extraction,2435937.08364,ton,Minerals and mining,0.09,2,2023-05-05,Extraction_Minerals_and_mining
Finland,Primary manufacturing,744557.0,kWh,Forestry,0.02,4,2023-05-05,Primary_manufacturing_Forestry
Finland,Primary sawmill and wood products,764913.6940344,ft,Forestry,0.1,3,2023-05-06,Primary_sawmill_and_wood_products_Forestry
Finland,Primary manufacturing,900747.0,kWh,Minerals and mining,0.17,4,2023-05-09,Primary_manufacturing_Minerals_and_mining
Finland,Other bioproducts (from forestry biomass),1385.0,kg,Forestry,0.21,7,2023-05-22,Other_bioproducts_(from_forestry_biomass)_Forestry
Finland,Extraction,853651.0,kWh,Energy,0.17,1,2023-05-11,Extraction_Energy
Finland,Petrochemicals,155301.91794706517,gallon,Energy,0.13,2,2023-05-27,Petrochemicals_Energy
Finland,Services,2393821.92,hr,Energy,0.07,4,2023-05-03,Services_Energy
Finland,Refined petroleum products (fuels and lubricants),640777.6614485616,gallon,Energy,0.13,3,2023-05-11,Refined_petroleum_products_(fuels_and_lubricants)_Energy
France,Miscellaneous metal products,101050.0,kg,Minerals and mining,0.27,10,2023-05-29,Miscellaneous_metal_products_Minerals_and_mining
France,Other refined petroleum and coal products,52078.0,gallon,Energy,0.66,11,2023-05-22,Other_refined_petroleum_and_coal_products_Energy
France,Services and custom work,2653.0,hr,Minerals and mining,0.07,8,2023-05-21,Services_and_custom_work_Minerals_and_mining
French Guiana,Primary manufacturing,110608.99999999999,kWh,Forestry,0.01,3,2023-05-13,Primary_manufacturing_Forestry
French Guiana,Extraction,127248.0,metric_ton,Forestry,0.02,6,2023-05-28,Extraction_Forestry
French Guiana,Secondary paper products,113973.90703018437,metric_ton,Forestry,0.09,13,2023-05-29,Secondary_paper_products_Forestry
French Guiana,Refined petroleum products (fuels and lubricants),351514.165662372,gallon,Energy,0.03,10,2023-05-21,Refined_petroleum_products_(fuels_and_lubricants)_Energy
French Guiana,Natural gas,547999.9016686208,cubic_feet,Energy,0.04,6,2023-05-29,Natural_gas_Energy
French Guiana,Primary manufacturing,374766.85791471007,kWh,Minerals and mining,0.04,8,2023-05-17,Primary_manufacturing_Minerals_and_mining
French Guiana,Services,242306.88,hr,Forestry,0.09,0,2023-05-06,Services_Forestry
French Guiana,Primary forestry bioproducts,10133.550000000001,metric_ton,Forestry,0.12,2,2023-05-03,Primary_forestry_bioproducts_Forestry
French Guiana,Secondary metal products,143434.0,ton,Minerals and mining,0.02,4,2023-05-28,Secondary_metal_products_Minerals_and_mining
French Guiana,Coal,203154.06147622305,short_ton,Minerals and mining,0.05,10,2023-05-23,Coal_Minerals_and_mining
French Guiana,Services,1240082.19,hr,Energy,0.04,1,2023-05-26,Services_Energy
French Guiana,Petrochemicals,15718.946739190735,gallon,Energy,0.03,11,2023-05-28,Petrochemicals_Energy
French Guiana,Miscellaneous metal products,325315.734761395,kg,Minerals and mining,0.08,13,2023-05-28,Miscellaneous_metal_products_Minerals_and_mining
French Guiana,Primary manufacturing,1676219.0,kWh,Energy,0.09,8,2023-05-20,Primary_manufacturing_Energy
French Guiana,Bioenergy and biofuel (from forestry biomass),2714.998565545079,gallon,Forestry,0.05,3,2023-05-11,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
French Guiana,Electricity,3616601.9999999995,kWh,Energy,0.09,4,2023-05-11,Electricity_Energy
French Guiana,Crude oil,2528779.473462,L,Energy,0.09,0,2023-05-09,Crude_oil_Energy
French Guiana,Bioenergy,3899.99852131621,kWh,Energy,0.02,7,2023-05-23,Bioenergy_Energy
French Polynesia,Primary manufacturing,3753789.576838521,kWh,Energy,0.33,2,2023-05-17,Primary_manufacturing_Energy
French Polynesia,Extraction,3384417.0,kWh,Energy,0.15,4,2023-05-04,Extraction_Energy
French Polynesia,Bioenergy and biofuel (from forestry biomass),4570.997584937958,gallon,Forestry,0.47,4,2023-05-08,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
French Polynesia,Extraction,102868.0,metric_ton,Forestry,0.05,4,2023-05-10,Extraction_Forestry
French Southern Territories (the),Secondary wood products,66621.0,lb,Forestry,0.1200000000000001,3,2023-05-08,Secondary_wood_products_Forestry
French Southern Territories (the),Refined petroleum products (fuels and lubricants),450775.76183504553,gallon,Energy,0.16,2,2023-05-07,Refined_petroleum_products_(fuels_and_lubricants)_Energy
French Southern Territories (the),Coal,151526.7091426178,short_ton,Minerals and mining,0.15,4,2023-05-03,Coal_Minerals_and_mining
French Southern Territories (the),Primary pulp and paper products,175899.12,metric_ton,Forestry,0.12,6,2023-05-18,Primary_pulp_and_paper_products_Forestry
French Southern Territories (the),Electricity,277203.0,kWh,Energy,0.08,0,2023-05-07,Electricity_Energy
French Southern Territories (the),Services,2254471.92,hr,Energy,0.01,4,2023-05-05,Services_Energy
French Southern Territories (the),Petrochemicals,6223.478038046076,gallon,Energy,0.04,0,2023-05-15,Petrochemicals_Energy
French Southern Territories (the),Primary sawmill and wood products,584879.0213408,ft,Forestry,0.07,4,2023-05-27,Primary_sawmill_and_wood_products_Forestry
French Southern Territories (the),Bioenergy,3970.99849377963,kWh,Energy,0.08,2,2023-05-05,Bioenergy_Energy
French Southern Territories (the),Services and custom work,87221.7,hr,Minerals and mining,0.07,4,2023-05-29,Services_and_custom_work_Minerals_and_mining
French Southern Territories (the),Biofuels,30005.047615999996,L,Energy,0.1,6,2023-05-24,Biofuels_Energy
Gabon,Services,207324.0,hr,Forestry,0.0500000000000001,11,2023-05-27,Services_Forestry
Gabon,Primary manufacturing,200646.0,kWh,Energy,0.04,3,2023-05-04,Primary_manufacturing_Energy
Gabon,Primary forestry bioproducts,12810.0,metric_ton,Forestry,0.09,8,2023-05-24,Primary_forestry_bioproducts_Forestry
Gabon,Secondary wood products,55436.05266406814,lb,Forestry,0.11,0,2023-05-09,Secondary_wood_products_Forestry
Gabon,Extraction,1267357.9470290202,ton,Minerals and mining,0.04,9,2023-05-23,Extraction_Minerals_and_mining
Gabon,Primary sawmill and wood products,144160.1096,ft,Forestry,0.03,9,2023-05-18,Primary_sawmill_and_wood_products_Forestry
Gabon,Electricity,1136966.5689456032,kWh,Energy,0.0499999999999999,0,2023-05-04,Electricity_Energy
Gabon,Primary manufacturing,1016560.9999999999,kWh,Minerals and mining,0.03,2,2023-05-07,Primary_manufacturing_Minerals_and_mining
Gabon,Extraction,3956124.9999999995,kWh,Energy,0.01,4,2023-05-20,Extraction_Energy
Gabon,Extraction,57779.85,metric_ton,Forestry,0.01,1,2023-05-06,Extraction_Forestry
Gabon,Crude oil,4051002.0,L,Energy,0.11,11,2023-05-19,Crude_oil_Energy
Gabon,Non-metallic minerals,286510.7662901129,metric_ton,Minerals and mining,0.11,11,2023-05-18,Non_metallic_minerals_Minerals_and_mining
Gabon,Coal,71926.18884896052,short_ton,Minerals and mining,0.09,4,2023-05-10,Coal_Minerals_and_mining
Gabon,Services,158226.30000000002,hr,Minerals and mining,0.08,1,2023-05-06,Services_Minerals_and_mining
Gabon,Services,2304409.0,hr,Energy,0.07,10,2023-05-26,Services_Energy
Gabon,Refined petroleum products (fuels and lubricants),397211.5274002023,gallon,Energy,0.08,1,2023-05-24,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Gambia (the),Services,1410112800.0,hr,Minerals and mining,0.0899999999999997,7,2023-05-25,Services_Minerals_and_mining
Gambia (the),Bioenergy,1718.99934886615,kWh,Energy,0.1,3,2023-05-14,Bioenergy_Energy
Gambia (the),Services,350391.63,hr,Forestry,0.11,1,2023-05-15,Services_Forestry
Gambia (the),Natural gas,172134.00000000003,cubic_feet,Energy,0.14,11,2023-05-16,Natural_gas_Energy
Gambia (the),Secondary metal products,262422.0,ton,Minerals and mining,0.1,8,2023-05-17,Secondary_metal_products_Minerals_and_mining
Gambia (the),Refined petroleum products (fuels and lubricants),264300.0,gallon,Energy,0.01,4,2023-05-28,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Gambia (the),Biofuels,10960.0,L,Energy,0.04,0,2023-05-02,Biofuels_Energy
Gambia (the),Primary non-metallic minerals products,324392.0,metric_ton,Minerals and mining,0.11,0,2023-05-20,Primary_non_metallic_minerals_products_Minerals_and_mining
Gambia (the),Secondary paper products,3652.0,metric_ton,Forestry,0.09,2,2023-05-19,Secondary_paper_products_Forestry
Gambia (the),Primary sawmill and wood products,784428.0,ft,Forestry,0.04,3,2023-05-12,Primary_sawmill_and_wood_products_Forestry
Gambia (the),Coal,269939.41042571486,short_ton,Minerals and mining,0.07,4,2023-05-02,Coal_Minerals_and_mining
Gambia (the),Extraction,1053705.0,ton,Minerals and mining,0.06,7,2023-05-21,Extraction_Minerals_and_mining
Gambia (the),Primary forestry bioproducts,735.999399498505,metric_ton,Forestry,0.04,7,2023-05-26,Primary_forestry_bioproducts_Forestry
Georgia,Primary sawmill and wood products,285542.39999999997,ft,Forestry,0.0899999999999997,1,2023-05-03,Primary_sawmill_and_wood_products_Forestry
Georgia,Refined petroleum products (fuels and lubricants),409691.19329214003,gallon,Energy,0.03,1,2023-05-07,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Georgia,Primary manufacturing,43538.98349251051,kWh,Forestry,0.1,1,2023-05-06,Primary_manufacturing_Forestry
Georgia,Primary manufacturing,213347.0,kWh,Energy,0.09,1,2023-05-12,Primary_manufacturing_Energy
Georgia,Bioenergy and biofuel (from forestry biomass),9944.964946993852,gallon,Forestry,0.1,3,2023-05-15,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Georgia,Metallic minerals,1710543.54,metric_ton,Minerals and mining,0.04,1,2023-05-02,Metallic_minerals_Minerals_and_mining
Georgia,Coal,113044.588725501,short_ton,Minerals and mining,0.04,0,2023-05-15,Coal_Minerals_and_mining
Georgia,Crude oil,3508504.0,L,Energy,0.06,4,2023-05-12,Crude_oil_Energy
Georgia,Primary manufacturing,1306680.5046018134,kWh,Minerals and mining,0.02,4,2023-05-03,Primary_manufacturing_Minerals_and_mining
Georgia,Services,257581.0,hr,Forestry,0.06,0,2023-05-16,Services_Forestry
Georgia,Biofuels,40766.439419999995,L,Energy,0.03,0,2023-05-21,Biofuels_Energy
Georgia,Natural gas,611945.0068510567,cubic_feet,Energy,0.04,4,2023-05-14,Natural_gas_Energy
Georgia,Extraction,175218.0,metric_ton,Forestry,0.0499999999999999,12,2023-05-19,Extraction_Forestry
Georgia,Bioenergy,3502.9986715733703,kWh,Energy,0.01,13,2023-05-16,Bioenergy_Energy
Georgia,Primary metallic minerals products,597346.0,metric_ton,Minerals and mining,0.06,8,2023-05-28,Primary_metallic_minerals_products_Minerals_and_mining
Georgia,Primary non-metallic minerals products,584316.49,metric_ton,Minerals and mining,0.1,0,2023-05-09,Primary_non_metallic_minerals_products_Minerals_and_mining
Georgia,Extraction,4904760.0,kWh,Energy,0.08,3,2023-05-02,Extraction_Energy
Germany,Primary pulp and paper products,383844.0,metric_ton,Forestry,0.07,3,2023-05-07,Primary_pulp_and_paper_products_Forestry
Germany,Petrochemicals,27059.985703001785,gallon,Energy,0.02,2,2023-05-07,Petrochemicals_Energy
Germany,Non-metallic minerals,10573.9913731232,metric_ton,Minerals and mining,0.03,3,2023-05-02,Non_metallic_minerals_Minerals_and_mining
Germany,Primary manufacturing,2678631.9844590626,kWh,Energy,0.09,1,2023-05-15,Primary_manufacturing_Energy
Germany,Other bioproducts (from forestry biomass),1688.99970712,kg,Forestry,0.01,3,2023-05-14,Other_bioproducts_(from_forestry_biomass)_Forestry
Germany,Bioenergy,8692.0,kWh,Energy,0.12,5,2023-05-27,Bioenergy_Energy
Germany,Extraction,105364.0,metric_ton,Forestry,0.17,3,2023-05-25,Extraction_Forestry
Germany,Electricity,1804184.3159854219,kWh,Energy,0.15,0,2023-05-13,Electricity_Energy
Germany,Primary manufacturing,1269878.0,kWh,Forestry,0.07,3,2023-05-19,Primary_manufacturing_Forestry
Germany,Refined petroleum products (fuels and lubricants),647432.7092705941,gallon,Energy,0.07,8,2023-05-28,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Germany,Coal,56612.29579576269,short_ton,Minerals and mining,0.17,8,2023-05-24,Coal_Minerals_and_mining
Germany,Extraction,83192.401536,ton,Minerals and mining,0.03,4,2023-05-04,Extraction_Minerals_and_mining
Ghana,Other bioproducts (from forestry biomass),1760.0,kg,Forestry,0.0900000000000001,4,2023-05-03,Other_bioproducts_(from_forestry_biomass)_Forestry
Ghana,Coal,31900.140655658197,short_ton,Minerals and mining,0.06,6,2023-05-18,Coal_Minerals_and_mining
Ghana,Biofuels,35447.819744,L,Energy,0.08,10,2023-05-22,Biofuels_Energy
Ghana,Extraction,699463.357968,ton,Minerals and mining,0.22,4,2023-05-03,Extraction_Minerals_and_mining
Ghana,Services,17077.2,hr,Forestry,0.19,1,2023-05-09,Services_Forestry
Ghana,Non-metallic minerals,512292.57,metric_ton,Minerals and mining,0.18,1,2023-05-29,Non_metallic_minerals_Minerals_and_mining
Ghana,Primary manufacturing,87507.0,kWh,Forestry,0.01,11,2023-05-24,Primary_manufacturing_Forestry
Ghana,Metallic minerals,1551333.7345598869,metric_ton,Minerals and mining,0.08,0,2023-05-22,Metallic_minerals_Minerals_and_mining
Ghana,Primary metallic minerals products,397590.0,metric_ton,Minerals and mining,0.09,9,2023-05-23,Primary_metallic_minerals_products_Minerals_and_mining
Gibraltar,Primary manufacturing,467505.0,kWh,Forestry,2.220446049250313e-16,12,2023-05-26,Primary_manufacturing_Forestry
Gibraltar,Miscellaneous metal products,283022.76905423496,kg,Minerals and mining,0.09,10,2023-05-20,Miscellaneous_metal_products_Minerals_and_mining
Gibraltar,Secondary paper products,156308.0,metric_ton,Forestry,0.06,6,2023-05-16,Secondary_paper_products_Forestry
Gibraltar,Primary metallic minerals products,388181.13,metric_ton,Minerals and mining,0.08,3,2023-05-20,Primary_metallic_minerals_products_Minerals_and_mining
Gibraltar,Metallic minerals,435010.0,metric_ton,Minerals and mining,0.03,0,2023-05-28,Metallic_minerals_Minerals_and_mining
Gibraltar,Bioenergy and biofuel (from forestry biomass),9107.005581958096,gallon,Forestry,0.05,1,2023-05-11,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Gibraltar,Other refined petroleum and coal products,40999.01992122385,gallon,Energy,0.03,11,2023-05-20,Other_refined_petroleum_and_coal_products_Energy
Gibraltar,Primary forestry bioproducts,9270.992438837358,metric_ton,Forestry,0.01,3,2023-05-15,Primary_forestry_bioproducts_Forestry
Gibraltar,Services,2263096.08,hr,Energy,0.01,10,2023-05-25,Services_Energy
Gibraltar,Refined petroleum products (fuels and lubricants),246484.1161644313,gallon,Energy,0.0999999999999999,5,2023-05-16,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Gibraltar,Secondary wood products,263342.38699095225,lb,Forestry,0.09,8,2023-05-17,Secondary_wood_products_Forestry
Gibraltar,Biofuels,4822.0066744,L,Energy,0.06,3,2023-05-04,Biofuels_Energy
Gibraltar,Services and custom work,93920400.0,hr,Forestry,0.08,2,2023-05-13,Services_and_custom_work_Forestry
Gibraltar,Primary sawmill and wood products,679719.017814,ft,Forestry,0.04,0,2023-05-08,Primary_sawmill_and_wood_products_Forestry
Gibraltar,Electricity,59605.99999999999,kWh,Energy,0.01,10,2023-05-26,Electricity_Energy
Gibraltar,Non-metallic minerals,365079.0,metric_ton,Minerals and mining,0.08,0,2023-05-05,Non_metallic_minerals_Minerals_and_mining
Gibraltar,Primary non-metallic minerals products,321104.0,metric_ton,Minerals and mining,0.09,3,2023-05-06,Primary_non_metallic_minerals_products_Minerals_and_mining
Gibraltar,Crude oil,1972795.0,L,Energy,0.08,1,2023-05-16,Crude_oil_Energy
Gibraltar,Bioenergy,3902.9999999999995,kWh,Energy,0.01,1,2023-05-05,Bioenergy_Energy
Greece,Metallic minerals,521856.5743157714,metric_ton,Minerals and mining,0.67,4,2023-05-05,Metallic_minerals_Minerals_and_mining
Greece,Coal,186723.69320311295,short_ton,Minerals and mining,0.33,1,2023-05-27,Coal_Minerals_and_mining
Greenland,Metallic minerals,160659.86894968458,metric_ton,Minerals and mining,1.0,4,2023-05-12,Metallic_minerals_Minerals_and_mining
Grenada,Primary manufacturing,879477.0,kWh,Forestry,0.11,10,2023-05-19,Primary_manufacturing_Forestry
Grenada,Electricity,82628.96867328502,kWh,Energy,0.27,8,2023-05-18,Electricity_Energy
Grenada,Non-metallic minerals,421806.04000000004,metric_ton,Minerals and mining,0.22,12,2023-05-23,Non_metallic_minerals_Minerals_and_mining
Grenada,Petrochemicals,66732.03144969765,gallon,Energy,0.07,10,2023-05-26,Petrochemicals_Energy
Grenada,Services and custom work,28194.0,hr,Minerals and mining,0.33,7,2023-05-16,Services_and_custom_work_Minerals_and_mining
Guadeloupe,Secondary metal products,268706.0,ton,Minerals and mining,0.11,2,2023-05-13,Secondary_metal_products_Minerals_and_mining
Guadeloupe,Non-metallic minerals,329546.0,metric_ton,Minerals and mining,0.15,2,2023-05-25,Non_metallic_minerals_Minerals_and_mining
Guadeloupe,Natural gas,405716.0,cubic_feet,Energy,0.12,5,2023-05-16,Natural_gas_Energy
Guadeloupe,Metallic minerals,1331827.0,metric_ton,Minerals and mining,0.12,6,2023-05-26,Metallic_minerals_Minerals_and_mining
Guadeloupe,Primary metallic minerals products,516081.21,metric_ton,Minerals and mining,0.03,4,2023-05-26,Primary_metallic_minerals_products_Minerals_and_mining
Guadeloupe,Tertiary metal products,872050.3822000001,ton,Minerals and mining,0.22,1,2023-05-11,Tertiary_metal_products_Minerals_and_mining
Guadeloupe,Other bioproducts (from forestry biomass),970.0,kg,Forestry,0.24,0,2023-05-18,Other_bioproducts_(from_forestry_biomass)_Forestry
Guadeloupe,Other refined petroleum and coal products,45798.02187873969,gallon,Energy,0.01,0,2023-05-10,Other_refined_petroleum_and_coal_products_Energy
Guam,Primary pulp and paper products,339735.0,metric_ton,Forestry,0.07,9,2023-05-24,Primary_pulp_and_paper_products_Forestry
Guam,Electricity,1647750.3752920146,kWh,Energy,0.02,0,2023-05-08,Electricity_Energy
Guam,Services,1262086.56,hr,Energy,0.01,3,2023-05-03,Services_Energy
Guam,Services,165012.645,hr,Forestry,0.06,0,2023-05-27,Services_Forestry
Guam,Primary forestry bioproducts,9496.0,metric_ton,Forestry,0.04,8,2023-05-16,Primary_forestry_bioproducts_Forestry
Guam,Miscellaneous metal products,273918.77646881004,kg,Minerals and mining,0.09,1,2023-05-02,Miscellaneous_metal_products_Minerals_and_mining
Guam,Extraction,1601899.0,ton,Minerals and mining,0.05,2,2023-05-21,Extraction_Minerals_and_mining
Guam,Secondary metal products,227490.18132610002,ton,Minerals and mining,0.11,4,2023-05-09,Secondary_metal_products_Minerals_and_mining
Guam,Extraction,16081.62,metric_ton,Forestry,0.1,3,2023-05-24,Extraction_Forestry
Guam,Coal,260024.4714389647,short_ton,Minerals and mining,0.01,5,2023-05-28,Coal_Minerals_and_mining
Guam,Other refined petroleum and coal products,108226.0,gallon,Energy,0.02,3,2023-05-09,Other_refined_petroleum_and_coal_products_Energy
Guam,Petrochemicals,33093.015596725316,gallon,Energy,0.02,1,2023-05-14,Petrochemicals_Energy
Guam,Primary metallic minerals products,269381.74,metric_ton,Minerals and mining,0.05,2,2023-05-14,Primary_metallic_minerals_products_Minerals_and_mining
Guam,Secondary paper products,380821.0,metric_ton,Forestry,0.08,1,2023-05-04,Secondary_paper_products_Forestry
Guam,Primary non-metallic minerals products,70546.82,metric_ton,Minerals and mining,0.1,4,2023-05-12,Primary_non_metallic_minerals_products_Minerals_and_mining
Guam,Primary sawmill and wood products,684153.5652000001,ft,Forestry,0.03,10,2023-05-23,Primary_sawmill_and_wood_products_Forestry
Guam,Natural gas,499700.822126794,cubic_feet,Energy,0.12,4,2023-05-23,Natural_gas_Energy
Guam,Metallic minerals,143880.0,metric_ton,Minerals and mining,0.02,9,2023-05-25,Metallic_minerals_Minerals_and_mining
